İlan_Numarası,İlan_Güncelleme_Tarihi,Kategorisi,Brüt_Metrekare,Binanın_Yaşı,Binanın_Kat_Sayısı,Kullanım_Durumu,Yatırıma_Uygunluk,Eşya_Durumu,Banyo_Sayısı,İlan_Oluşturma_Tarihi,Türü,Net_Metrekare,Oda_Sayısı,Bulunduğu_Kat,Isıtma_Tipi,Krediye_Uygunluk,Site_İçerisinde,Takas,Fiyat_Durumu,Fiyatı,İl,İlçe,Mahalle,yaka,Yaşam_endeksi,Nüfus,Bina_Yasi_Sayi,Oda_Sayi_Num,Aykiri_Fiyat,mahalle_lat,mahalle_lon,rayli_mesafe_km,mesafe_band
1403,10 Şubat 2022,Satılık,55,5-10,4,Boş,Bilinmiyor,Yok,1,17 Ocak 2022,Konut,45,1+1,Düz Giriş,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,760000,İstanbul,Maltepe,İdealtepe Mahallesi,Anadolu Yakası,0.161,525.566,7,2.0,0,40.9378351,29.1142301,0.0038123279203119325,0-500m
1402,10 Şubat 2022,Satılık,85,4,4,Kiracı Oturuyor,Bilinmiyor,Yok,1,17 Ocak 2022,Konut,75,2+1,Düz Giriş,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,1550000,İstanbul,Maltepe,Altıntepe Mahallesi,Anadolu Yakası,0.161,525.566,4,3.0,0,40.951875,29.1016652,0.34627451167236833,0-500m
1400,10 Şubat 2022,Satılık,85,4,4,Kiracı Oturuyor,Bilinmiyor,Yok,1,17 Ocak 2022,Konut,75,2+1,Düz Giriş,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,1500000,İstanbul,Maltepe,Zümrütevler Mahallesi,Anadolu Yakası,0.161,525.566,4,3.0,0,40.9363954,29.147589,0.6774838160984873,500m-1km
1358,09 Şubat 2022,Satılık,85,5-10,5,Kiracı Oturuyor,Bilinmiyor,Yok,1,16 Ocak 2022,Konut,70,2+1,1. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,725000,İstanbul,Maltepe,Altıntepe Mahallesi,Anadolu Yakası,0.161,525.566,7,3.0,0,40.951875,29.1016652,0.34627451167236833,0-500m
1401,10 Şubat 2022,Satılık,65,0 (Yeni),4,Boş,Bilinmiyor,Yok,1,17 Ocak 2022,Konut,55,1+1,2. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,925000,İstanbul,Maltepe,İdealtepe Mahallesi,Anadolu Yakası,0.161,525.566,0,2.0,0,40.9378351,29.1142301,0.0038123279203119325,0-500m
1334,15 Ocak 2022,Satılık,95,3,7,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,1,15 Ocak 2022,Konut,80,2+1,3. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,1650000,İstanbul,Maltepe,Çınar Mahallesi,Anadolu Yakası,0.161,525.566,3,3.0,0,40.9441446,29.1127963,0.5540838739896988,500m-1km
1272,31 Ocak 2022,Satılık,102,2,5,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,1,14 Ocak 2022,Konut,92,2+1,2. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,1825000,İstanbul,Maltepe,Fındıklı Mahallesi,Anadolu Yakası,0.161,525.566,2,3.0,0,40.9713562,29.1302616,0.907328242557967,500m-1km
1297,08 Şubat 2022,Satılık,90,5-10,4,Boş,Bilinmiyor,Yok,1,15 Ocak 2022,Konut,75,2+1,Bahçe Katı,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,1345000,İstanbul,Maltepe,İdealtepe Mahallesi,Anadolu Yakası,0.161,525.566,7,3.0,0,40.9378351,29.1142301,0.0038123279203119325,0-500m
1296,08 Şubat 2022,Satılık,138,5-10,3,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,2,15 Ocak 2022,Konut,120,3+1,2. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,2950000,İstanbul,Maltepe,Çınar Mahallesi,Anadolu Yakası,0.161,525.566,7,4.0,0,40.9441446,29.1127963,0.5540838739896988,500m-1km
1257,13 Ocak 2022,Satılık,138,5-10,3,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,2,13 Ocak 2022,Konut,120,3+1,2. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,2950000,İstanbul,Maltepe,Cevizli Mahallesi,Anadolu Yakası,0.161,525.566,7,4.0,0,40.9162851,29.1470405,1.0289093801519686,1-2km
1255,13 Ocak 2022,Satılık,87,0 (Yeni),4,Boş,Bilinmiyor,Yok,1,13 Ocak 2022,Konut,70,2+1,4. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,1230000,İstanbul,Maltepe,Cevizli Mahallesi,Anadolu Yakası,0.161,525.566,0,3.0,0,40.9162851,29.1470405,1.0289093801519686,1-2km
1260,14 Ocak 2022,Satılık,45,5-10,12,Kiracı Oturuyor,Bilinmiyor,Var,1,14 Ocak 2022,Konut,35,Stüdyo,4. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,760000,İstanbul,Maltepe,Altıntepe Mahallesi,Anadolu Yakası,0.161,525.566,7,,0,40.951875,29.1016652,0.34627451167236833,0-500m
1256,21 Ocak 2022,Satılık,90,5-10,4,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,1,13 Ocak 2022,Konut,68,2+1,3. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,1300000,İstanbul,Maltepe,Altıntepe Mahallesi,Anadolu Yakası,0.161,525.566,7,3.0,0,40.951875,29.1016652,0.34627451167236833,0-500m
1214,12 Ocak 2022,Satılık,185,21 Ve Üzeri,5,Boş,Bilinmiyor,Yok,1,12 Ocak 2022,Konut,184,3+1,5. Kat,Doğalgaz,Krediye Uygun Değil,Hayır,Var,Genel Fiyat,485000,İstanbul,Maltepe,Çınar Mahallesi,Anadolu Yakası,0.161,525.566,25,4.0,0,40.9441446,29.1127963,0.5540838739896988,500m-1km
1204,12 Ocak 2022,Satılık,121,0 (Yeni),22,Boş,Bilinmiyor,Yok,2,12 Ocak 2022,Konut,84,2+1,13. Kat,Yerden Isıtma,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,3850000,İstanbul,Maltepe,Çınar Mahallesi,Anadolu Yakası,0.161,525.566,0,3.0,0,40.9441446,29.1127963,0.5540838739896988,500m-1km
1203,12 Ocak 2022,Satılık,121,0 (Yeni),22,Boş,Bilinmiyor,Yok,2,12 Ocak 2022,Konut,84,2+1,17. Kat,Yerden Isıtma,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,3900000,İstanbul,Maltepe,Çınar Mahallesi,Anadolu Yakası,0.161,525.566,0,3.0,0,40.9441446,29.1127963,0.5540838739896988,500m-1km
1207,12 Ocak 2022,Satılık,121,0 (Yeni),17,Boş,Bilinmiyor,Yok,2,12 Ocak 2022,Konut,84,2+1,7. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,3800000,İstanbul,Maltepe,Çınar Mahallesi,Anadolu Yakası,0.161,525.566,0,3.0,0,40.9441446,29.1127963,0.5540838739896988,500m-1km
1205,12 Ocak 2022,Satılık,165,0 (Yeni),30,Boş,Bilinmiyor,Yok,2,12 Ocak 2022,Konut,106,3+1,7. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,4400000,İstanbul,Maltepe,Çınar Mahallesi,Anadolu Yakası,0.161,525.566,0,4.0,0,40.9441446,29.1127963,0.5540838739896988,500m-1km
1206,14 Ocak 2022,Satılık,121,0 (Yeni),30,Boş,Bilinmiyor,Yok,2,12 Ocak 2022,Konut,84,2+1,8. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,3815000,İstanbul,Maltepe,Zümrütevler Mahallesi,Anadolu Yakası,0.161,525.566,0,3.0,0,40.9363954,29.147589,0.6774838160984873,500m-1km
1216,12 Ocak 2022,Satılık,160,3,3,Boş,Bilinmiyor,Yok,2,12 Ocak 2022,Konut,145,3+1,3. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,920000,İstanbul,Maltepe,Zümrütevler Mahallesi,Anadolu Yakası,0.161,525.566,3,4.0,0,40.9363954,29.147589,0.6774838160984873,500m-1km
1215,12 Ocak 2022,Satılık,175,21 Ve Üzeri,7,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,1,12 Ocak 2022,Konut,135,3+1,7. Kat,Doğalgaz,Krediye Uygun Değil,Hayır,Var,Genel Fiyat,550000,İstanbul,Maltepe,Çınar Mahallesi,Anadolu Yakası,0.161,525.566,25,4.0,0,40.9441446,29.1127963,0.5540838739896988,500m-1km
