İlan_Numarası,İlan_Güncelleme_Tarihi,Kategorisi,Brüt_Metrekare,Binanın_Yaşı,Binanın_Kat_Sayısı,Kullanım_Durumu,Yatırıma_Uygunluk,Eşya_Durumu,Banyo_Sayısı,İlan_Oluşturma_Tarihi,Türü,Net_Metrekare,Oda_Sayısı,Bulunduğu_Kat,Isıtma_Tipi,Krediye_Uygunluk,Site_İçerisinde,Takas,Fiyat_Durumu,Fiyatı,İl,İlçe,Mahalle,yaka,Yaşam_endeksi,Nüfus,Bina_Yasi_Sayi,Oda_Sayi_Num,Aykiri_Fiyat,mahalle_lat,mahalle_lon,rayli_mesafe_km,mesafe_band
2003,02 Şubat 2022,Satılık,190,5-10,20,Kiracı Oturuyor,Bilinmiyor,Yok,2,27 Ocak 2022,Konut,168,4+1,1. Kat,Klimalı,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,18000000,İstanbul,Beşiktaş,Nisbetiye Mahallesi,Avrupa Yakası,0.911,178.938,7,5.0,0,41.071211,29.0238195,0.6792083939063565,500m-1km
166,14 Ocak 2022,Satılık,300,21 Ve Üzeri,2,Kiracı Oturuyor,Bilinmiyor,Yok,3,15 Ekim 2021,Konut,270,5+1,Bahçe Katı,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,8500000,İstanbul,Beşiktaş,Akat Mahallesi,Avrupa Yakası,0.911,178.938,25,6.0,0,41.0858575,29.026253,0.9650919082650318,500m-1km
167,14 Ocak 2022,Satılık,350,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,2,15 Ekim 2021,Konut,320,5+2,Düz Giriş,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,16500000,İstanbul,Beşiktaş,Levent Mahallesi,Avrupa Yakası,0.911,178.938,25,7.0,0,41.0815723,29.0169502,0.5996366134312564,500m-1km
115,06 Ocak 2022,Satılık,450,5-10,4,Kiracı Oturuyor,Bilinmiyor,Yok,3,22 Eylül 2021,Konut,400,6+2,Düz Giriş,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,22000000,İstanbul,Beşiktaş,Levazım Mahallesi,Avrupa Yakası,0.911,178.938,7,8.0,0,41.0627271,29.0196144,1.0085798510098043,1-2km
2879,08 Şubat 2022,Satılık,160,21 Ve Üzeri,2,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,1,08 Şubat 2022,Konut,140,3+1,1. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,4250000,İstanbul,Beşiktaş,Nisbetiye Mahallesi,Avrupa Yakası,0.911,178.938,25,4.0,0,41.071211,29.0238195,0.6792083939063565,500m-1km
2878,08 Şubat 2022,Satılık,65,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,1,08 Şubat 2022,Konut,55,2+1,Bahçe Katı,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,875000,İstanbul,Beşiktaş,Arnavutköy Mahallesi,Avrupa Yakası,0.911,178.938,25,3.0,0,41.0683942,29.0411538,1.5803869210353299,1-2km
2762,07 Şubat 2022,Satılık,350,21 Ve Üzeri,6,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,4,07 Şubat 2022,Konut,300,5+1,6. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,28000000,İstanbul,Beşiktaş,Sinanpaşa Mahallesi,Avrupa Yakası,0.911,178.938,25,6.0,0,41.0428133,29.0048711,1.3192704907495176,1-2km
2707,06 Şubat 2022,Satılık,90,21 Ve Üzeri,7,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,1,06 Şubat 2022,Konut,85,2+1,Bahçe Katı,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,1250000,İstanbul,Beşiktaş,Etiler Mahallesi,Avrupa Yakası,0.911,178.938,25,3.0,0,41.0824567,29.0375989,0.013492174639745004,0-500m
2699,06 Şubat 2022,Satılık,160,21 Ve Üzeri,9,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,1,06 Şubat 2022,Konut,130,3+1,8. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,4950000,İstanbul,Beşiktaş,Nisbetiye Mahallesi,Avrupa Yakası,0.911,178.938,25,4.0,0,41.071211,29.0238195,0.6792083939063565,500m-1km
2737,07 Şubat 2022,Satılık,190,16-20,5,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,2,07 Şubat 2022,Konut,170,4+1,2. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,7600000,İstanbul,Beşiktaş,Yıldız Mahallesi,Avrupa Yakası,0.911,178.938,18,5.0,0,41.0479707,29.0145236,0.7944835386059822,500m-1km
2593,05 Şubat 2022,Satılık,270,5-10,2,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,2,04 Şubat 2022,Konut,260,5+2,Çatı Katı,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,8500000,İstanbul,Beşiktaş,Dikilitaş Mahallesi,Avrupa Yakası,0.911,178.938,7,7.0,0,41.0554313,29.0048495,0.43067285100865776,0-500m
2592,05 Şubat 2022,Satılık,200,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,2,04 Şubat 2022,Konut,160,4+1,4. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,2500000,İstanbul,Beşiktaş,Gayrettepe Mahallesi,Avrupa Yakası,0.911,178.938,25,5.0,0,41.0622256,29.0061911,0.10562113822047511,0-500m
2591,05 Şubat 2022,Satılık,200,21 Ve Üzeri,6,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,2,04 Şubat 2022,Konut,175,3+1,2. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,3650000,İstanbul,Beşiktaş,Ortaköy Mahallesi,Avrupa Yakası,0.911,178.938,25,4.0,0,41.0546272,29.0281901,1.553329596873523,1-2km
2513,04 Şubat 2022,Satılık,236,0 (Yeni),6,Boş,Bilinmiyor,Yok,3,04 Şubat 2022,Konut,202,4+1,4. Kat,Doğalgaz,Krediye Uygun Değil,Hayır,Var,Genel Fiyat,21000000,İstanbul,Beşiktaş,Levazım Mahallesi,Avrupa Yakası,0.911,178.938,0,5.0,0,41.0627271,29.0196144,1.0085798510098043,1-2km
2514,04 Şubat 2022,Satılık,420,4,6,Boş,Bilinmiyor,Yok,4,04 Şubat 2022,Konut,280,5+1,Bahçe Katı,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,35000000,İstanbul,Beşiktaş,Levazım Mahallesi,Avrupa Yakası,0.911,178.938,4,6.0,1,41.0627271,29.0196144,1.0085798510098043,1-2km
2516,04 Şubat 2022,Satılık,168,2,6,Kiracı Oturuyor,Bilinmiyor,Yok,2,04 Şubat 2022,Konut,125,2+1,2. Kat,Doğalgaz,Krediye Uygun Değil,Hayır,Var,Genel Fiyat,10500000,İstanbul,Beşiktaş,Levazım Mahallesi,Avrupa Yakası,0.911,178.938,2,3.0,0,41.0627271,29.0196144,1.0085798510098043,1-2km
2515,04 Şubat 2022,Satılık,212,2,6,Boş,Bilinmiyor,Yok,2,04 Şubat 2022,Konut,176,3+1,3. Kat,Doğalgaz,Krediye Uygun Değil,Hayır,Var,Genel Fiyat,18200000,İstanbul,Beşiktaş,Mecidiye Mahallesi,Avrupa Yakası,0.911,178.938,2,4.0,0,41.0520844,29.0203549,0.923206805548688,500m-1km
2421,05 Şubat 2022,Satılık,130,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,3,03 Şubat 2022,Konut,120,4+1,Düz Giriş,Sobalı,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,2000000,İstanbul,Beşiktaş,Levent Mahallesi,Avrupa Yakası,0.911,178.938,25,5.0,0,41.0815723,29.0169502,0.5996366134312564,500m-1km
2257,01 Şubat 2022,Satılık,120,21 Ve Üzeri,5,Kiracı Oturuyor,Bilinmiyor,Yok,1,01 Şubat 2022,Konut,100,2.5+1,Yüksek Giriş,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,3800000,İstanbul,Beşiktaş,Akat Mahallesi,Avrupa Yakası,0.911,178.938,25,,0,41.0858575,29.026253,0.9650919082650318,500m-1km
2145,30 Ocak 2022,Satılık,600,4,14,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,3,30 Ocak 2022,Konut,550,5+1,11. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,80000000,İstanbul,Beşiktaş,Bebek Mahallesi,Avrupa Yakası,0.911,178.938,4,6.0,1,41.0790159,29.0439589,0.6529171291239074,500m-1km
2146,05 Şubat 2022,Satılık,180,21 Ve Üzeri,3,Boş,Bilinmiyor,Yok,2,30 Ocak 2022,Konut,165,3+1,2. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,17000000,İstanbul,Beşiktaş,Akat Mahallesi,Avrupa Yakası,0.911,178.938,25,4.0,0,41.0858575,29.026253,0.9650919082650318,500m-1km
2141,30 Ocak 2022,Satılık,240,0 (Yeni),7,Kiracı Oturuyor,Bilinmiyor,Yok,2,30 Ocak 2022,Konut,200,4+1,1. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,9000000,İstanbul,Beşiktaş,Levent Mahallesi,Avrupa Yakası,0.911,178.938,0,5.0,0,41.0815723,29.0169502,0.5996366134312564,500m-1km
2068,29 Ocak 2022,Satılık,130,21 Ve Üzeri,5,Boş,Bilinmiyor,Yok,1,29 Ocak 2022,Konut,125,3+1,1. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,2000000,İstanbul,Beşiktaş,Levent Mahallesi,Avrupa Yakası,0.911,178.938,25,4.0,0,41.0815723,29.0169502,0.5996366134312564,500m-1km
1956,27 Ocak 2022,Satılık,130,21 Ve Üzeri,5,Boş,Bilinmiyor,Var,1,27 Ocak 2022,Konut,125,3+1,3. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,1525000,İstanbul,Beşiktaş,Türkali Mahallesi,Avrupa Yakası,0.911,178.938,25,4.0,0,41.047674,29.0023049,0.9457621940620315,500m-1km
1957,27 Ocak 2022,Satılık,80,21 Ve Üzeri,3,Kiracı Oturuyor,Bilinmiyor,Yok,1,27 Ocak 2022,Konut,75,2+1,3. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,1150000,İstanbul,Beşiktaş,Dikilitaş Mahallesi,Avrupa Yakası,0.911,178.938,25,3.0,0,41.0554313,29.0048495,0.43067285100865776,0-500m
1899,26 Ocak 2022,Satılık,70,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,1,25 Ocak 2022,Konut,55,1+1,5. Kat,Doğalgaz,Krediye Uygun Değil,Hayır,Var,Genel Fiyat,2100000,İstanbul,Beşiktaş,Dikilitaş Mahallesi,Avrupa Yakası,0.911,178.938,25,2.0,0,41.0554313,29.0048495,0.43067285100865776,0-500m
1892,25 Ocak 2022,Satılık,650,5-10,3,Boş,Bilinmiyor,Yok,5,25 Ocak 2022,Konut,500,6+1,Düz Giriş,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,110000000,İstanbul,Beşiktaş,Türkali Mahallesi,Avrupa Yakası,0.911,178.938,7,7.0,1,41.047674,29.0023049,0.9457621940620315,500m-1km
1723,24 Ocak 2022,Satılık,260,21 Ve Üzeri,5,Boş,Bilinmiyor,Yok,3,24 Ocak 2022,Konut,250,4+1,3. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,42000000,İstanbul,Beşiktaş,Ulus Mahallesi,Avrupa Yakası,0.911,178.938,25,5.0,1,41.0646636,29.0270709,1.4260483075083186,1-2km
1722,24 Ocak 2022,Satılık,240,21 Ve Üzeri,4,Kiracı Oturuyor,Bilinmiyor,Yok,2,24 Ocak 2022,Konut,220,4+2,Bahçe Katı,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,14000000,İstanbul,Beşiktaş,Arnavutköy Mahallesi,Avrupa Yakası,0.911,178.938,25,6.0,0,41.0683942,29.0411538,1.5803869210353299,1-2km
1717,24 Ocak 2022,Satılık,320,21 Ve Üzeri,5,Boş,Bilinmiyor,Yok,3,24 Ocak 2022,Konut,300,5+1,Düz Giriş,Doğalgaz,Krediye Uygun Değil,Hayır,Var,Genel Fiyat,16000000,İstanbul,Beşiktaş,Arnavutköy Mahallesi,Avrupa Yakası,0.911,178.938,25,6.0,0,41.0683942,29.0411538,1.5803869210353299,1-2km
1716,24 Ocak 2022,Satılık,180,21 Ve Üzeri,6,Boş,Bilinmiyor,Yok,2,24 Ocak 2022,Konut,175,3+1,3. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,17000000,İstanbul,Beşiktaş,Arnavutköy Mahallesi,Avrupa Yakası,0.911,178.938,25,4.0,0,41.0683942,29.0411538,1.5803869210353299,1-2km
1727,24 Ocak 2022,Satılık,125,21 Ve Üzeri,4,Boş,Bilinmiyor,Yok,1,24 Ocak 2022,Konut,120,3+1,1. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,3250000,İstanbul,Beşiktaş,Ulus Mahallesi,Avrupa Yakası,0.911,178.938,25,4.0,0,41.0646636,29.0270709,1.4260483075083186,1-2km
1726,06 Şubat 2022,Satılık,210,5-10,4,Kiracı Oturuyor,Bilinmiyor,Yok,3,24 Ocak 2022,Konut,200,3+1,Düz Giriş,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,7500000,İstanbul,Beşiktaş,Arnavutköy Mahallesi,Avrupa Yakası,0.911,178.938,7,4.0,0,41.0683942,29.0411538,1.5803869210353299,1-2km
1721,06 Şubat 2022,Satılık,175,21 Ve Üzeri,5,Boş,Bilinmiyor,Yok,2,24 Ocak 2022,Konut,170,3+1,Yüksek Giriş,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,11000000,İstanbul,Beşiktaş,Türkali Mahallesi,Avrupa Yakası,0.911,178.938,25,4.0,0,41.047674,29.0023049,0.9457621940620315,500m-1km
1764,07 Şubat 2022,Satılık,110,21 Ve Üzeri,5,Kiracı Oturuyor,Bilinmiyor,Yok,1,25 Ocak 2022,Konut,100,3+1,3. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,1950000,İstanbul,Beşiktaş,Arnavutköy Mahallesi,Avrupa Yakası,0.911,178.938,25,4.0,0,41.0683942,29.0411538,1.5803869210353299,1-2km
1720,06 Şubat 2022,Satılık,350,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,4,24 Ocak 2022,Konut,340,6+2,Düz Giriş,Doğalgaz,Krediye Uygun Değil,Hayır,Var,Genel Fiyat,11000000,İstanbul,Beşiktaş,Arnavutköy Mahallesi,Avrupa Yakası,0.911,178.938,25,8.0,0,41.0683942,29.0411538,1.5803869210353299,1-2km
1719,06 Şubat 2022,Satılık,100,16-20,5,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,1,24 Ocak 2022,Konut,90,2+1,Yüksek Giriş,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,7000000,İstanbul,Beşiktaş,Arnavutköy Mahallesi,Avrupa Yakası,0.911,178.938,18,3.0,0,41.0683942,29.0411538,1.5803869210353299,1-2km
1718,06 Şubat 2022,Satılık,230,21 Ve Üzeri,4,Kiracı Oturuyor,Bilinmiyor,Yok,1,24 Ocak 2022,Konut,220,2+1,Bahçe Katı,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,14000000,İstanbul,Beşiktaş,Türkali Mahallesi,Avrupa Yakası,0.911,178.938,25,3.0,0,41.047674,29.0023049,0.9457621940620315,500m-1km
1763,07 Şubat 2022,Satılık,130,21 Ve Üzeri,5,Kiracı Oturuyor,Bilinmiyor,Yok,1,25 Ocak 2022,Konut,110,3+1,3. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,1950000,İstanbul,Beşiktaş,Abbasağa Mahallesi,Avrupa Yakası,0.911,178.938,25,4.0,0,41.0495742,29.0051707,0.6302887511846066,500m-1km
1770,07 Şubat 2022,Satılık,120,0 (Yeni),4,Boş,Bilinmiyor,Yok,2,25 Ocak 2022,Konut,105,3+1,4. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,3100000,İstanbul,Beşiktaş,Sinanpaşa Mahallesi,Avrupa Yakası,0.911,178.938,0,4.0,0,41.0428133,29.0048711,1.3192704907495176,1-2km
1775,07 Şubat 2022,Satılık,150,0 (Yeni),5,Boş,Bilinmiyor,Yok,2,25 Ocak 2022,Konut,140,3+1,5. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,7500000,İstanbul,Beşiktaş,Cihannüma Mahallesi,Avrupa Yakası,0.911,178.938,0,4.0,0,41.0470226,29.0080617,0.7996981714924092,500m-1km
1774,07 Şubat 2022,Satılık,80,21 Ve Üzeri,5,Kiracı Oturuyor,Bilinmiyor,Yok,1,25 Ocak 2022,Konut,75,2+1,1. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,1200000,İstanbul,Beşiktaş,Türkali Mahallesi,Avrupa Yakası,0.911,178.938,25,3.0,0,41.047674,29.0023049,0.9457621940620315,500m-1km
1778,07 Şubat 2022,Satılık,85,21 Ve Üzeri,5,Kiracı Oturuyor,Bilinmiyor,Yok,2,25 Ocak 2022,Konut,80,2+1,Düz Giriş,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,1000000,İstanbul,Beşiktaş,Arnavutköy Mahallesi,Avrupa Yakası,0.911,178.938,25,3.0,0,41.0683942,29.0411538,1.5803869210353299,1-2km
1725,07 Şubat 2022,Satılık,80,21 Ve Üzeri,4,Kiracı Oturuyor,Bilinmiyor,Yok,1,24 Ocak 2022,Konut,70,1+1,Bahçe Katı,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,1950000,İstanbul,Beşiktaş,Arnavutköy Mahallesi,Avrupa Yakası,0.911,178.938,25,2.0,0,41.0683942,29.0411538,1.5803869210353299,1-2km
1724,08 Şubat 2022,Satılık,200,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,2,24 Ocak 2022,Konut,160,4+1,4. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,2500000,İstanbul,Beşiktaş,Dikilitaş Mahallesi,Avrupa Yakası,0.911,178.938,25,5.0,0,41.0554313,29.0048495,0.43067285100865776,0-500m
1665,24 Ocak 2022,Satılık,120,0 (Yeni),7,Boş,Bilinmiyor,Yok,1,24 Ocak 2022,Konut,100,3+1,3. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,3650000,İstanbul,Beşiktaş,Dikilitaş Mahallesi,Avrupa Yakası,0.911,178.938,0,4.0,0,41.0554313,29.0048495,0.43067285100865776,0-500m
1644,27 Ocak 2022,Satılık,110,0 (Yeni),7,Boş,Bilinmiyor,Yok,1,23 Ocak 2022,Konut,95,3+1,2. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,3650000,İstanbul,Beşiktaş,Nisbetiye Mahallesi,Avrupa Yakası,0.911,178.938,0,4.0,0,41.071211,29.0238195,0.6792083939063565,500m-1km
1587,21 Ocak 2022,Satılık,380,5-10,24,Kiracı Oturuyor,Bilinmiyor,Yok,4,21 Ocak 2022,Konut,350,5+1,16. Kat,Yerden Isıtma,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,40000000,İstanbul,Beşiktaş,Levazım Mahallesi,Avrupa Yakası,0.911,178.938,7,6.0,1,41.0627271,29.0196144,1.0085798510098043,1-2km
1586,21 Ocak 2022,Satılık,220,4,17,Boş,Bilinmiyor,Yok,3,21 Ocak 2022,Konut,200,3+1,6. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,30000000,İstanbul,Beşiktaş,Levazım Mahallesi,Avrupa Yakası,0.911,178.938,4,4.0,1,41.0627271,29.0196144,1.0085798510098043,1-2km
1585,21 Ocak 2022,Satılık,217,0 (Yeni),22,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,2,21 Ocak 2022,Konut,185,2+1,7. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,25000000,İstanbul,Beşiktaş,Nisbetiye Mahallesi,Avrupa Yakası,0.911,178.938,0,3.0,0,41.071211,29.0238195,0.6792083939063565,500m-1km
1588,21 Ocak 2022,Satılık,221,0 (Yeni),29,Boş,Bilinmiyor,Yok,3,21 Ocak 2022,Konut,160,3+1,15. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,30000000,İstanbul,Beşiktaş,Akat Mahallesi,Avrupa Yakası,0.911,178.938,0,4.0,1,41.0858575,29.026253,0.9650919082650318,500m-1km
1593,22 Ocak 2022,Satılık,180,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,2,21 Ocak 2022,Konut,179,3+1,Düz Giriş,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,8600000,İstanbul,Beşiktaş,Levazım Mahallesi,Avrupa Yakası,0.911,178.938,25,4.0,0,41.0627271,29.0196144,1.0085798510098043,1-2km
1584,21 Ocak 2022,Satılık,220,4,22,Boş,Bilinmiyor,Yok,3,21 Ocak 2022,Konut,200,3+1,3. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,33000000,İstanbul,Beşiktaş,Gayrettepe Mahallesi,Avrupa Yakası,0.911,178.938,4,4.0,1,41.0622256,29.0061911,0.10562113822047511,0-500m
1528,21 Ocak 2022,Satılık,120,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,1,21 Ocak 2022,Konut,110,2+1,4. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,1750000,İstanbul,Beşiktaş,Yıldız Mahallesi,Avrupa Yakası,0.911,178.938,25,3.0,0,41.0479707,29.0145236,0.7944835386059822,500m-1km
1516,05 Şubat 2022,Satılık,115,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,Hayır,Var,1,19 Ocak 2022,Konut,100,2+1,4. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,5450000,İstanbul,Beşiktaş,Cihannüma Mahallesi,Avrupa Yakası,0.911,178.938,25,3.0,0,41.0470226,29.0080617,0.7996981714924092,500m-1km
1489,05 Şubat 2022,Satılık,95,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,1,19 Ocak 2022,Konut,80,2+1,5. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,2400000,İstanbul,Beşiktaş,Nisbetiye Mahallesi,Avrupa Yakası,0.911,178.938,25,3.0,0,41.071211,29.0238195,0.6792083939063565,500m-1km
1398,17 Ocak 2022,Satılık,190,0 (Yeni),5,Boş,Bilinmiyor,Yok,2,17 Ocak 2022,Konut,150,3+1,4. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,9400000,İstanbul,Beşiktaş,Etiler Mahallesi,Avrupa Yakası,0.911,178.938,0,4.0,0,41.0824567,29.0375989,0.013492174639745004,0-500m
1331,21 Ocak 2022,Satılık,340,21 Ve Üzeri,2,Boş,Bilinmiyor,Yok,3,15 Ocak 2022,Konut,300,5+1,Villa Tipi,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,40000000,İstanbul,Beşiktaş,Bebek Mahallesi,Avrupa Yakası,0.911,178.938,25,6.0,1,41.0790159,29.0439589,0.6529171291239074,500m-1km
1332,24 Ocak 2022,Satılık,890,21 Ve Üzeri,4,Boş,Bilinmiyor,Yok,Yok,15 Ocak 2022,Konut,889,1 Oda,Düz Giriş,Isıtma Yok,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,98000000,İstanbul,Beşiktaş,Ulus Mahallesi,Avrupa Yakası,0.911,178.938,25,,1,41.0646636,29.0270709,1.4260483075083186,1-2km
1329,21 Ocak 2022,Satılık,600,5-10,22,Boş,Bilinmiyor,Yok,5,15 Ocak 2022,Konut,470,5+1,17. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,118000000,İstanbul,Beşiktaş,Levent Mahallesi,Avrupa Yakası,0.911,178.938,7,6.0,1,41.0815723,29.0169502,0.5996366134312564,500m-1km
1283,14 Ocak 2022,Satılık,421,21 Ve Üzeri,3,Boş,Bilinmiyor,Yok,Yok,14 Ocak 2022,Konut,420,8+ Oda,Düz Giriş,Doğalgaz,Krediye Uygun Değil,Hayır,Var,Genel Fiyat,12500000,İstanbul,Beşiktaş,Etiler Mahallesi,Avrupa Yakası,0.911,178.938,25,,0,41.0824567,29.0375989,0.013492174639745004,0-500m
1281,14 Ocak 2022,Satılık,140,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,1,14 Ocak 2022,Konut,120,3+1,2. Kat,Doğalgaz,Krediye Uygun Değil,Hayır,Var,Genel Fiyat,4400000,İstanbul,Beşiktaş,Etiler Mahallesi,Avrupa Yakası,0.911,178.938,25,4.0,0,41.0824567,29.0375989,0.013492174639745004,0-500m
1277,18 Ocak 2022,Satılık,340,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,4,14 Ocak 2022,Konut,300,6+1,4. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,30000000,İstanbul,Beşiktaş,Akat Mahallesi,Avrupa Yakası,0.911,178.938,25,7.0,1,41.0858575,29.026253,0.9650919082650318,500m-1km
1275,18 Ocak 2022,Satılık,320,21 Ve Üzeri,6,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,3,14 Ocak 2022,Konut,287,5+1,6. Kat,Yerden Isıtma,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,26000000,İstanbul,Beşiktaş,Akat Mahallesi,Avrupa Yakası,0.911,178.938,25,6.0,0,41.0858575,29.026253,0.9650919082650318,500m-1km
1273,18 Ocak 2022,Satılık,110,21 Ve Üzeri,6,Kiracı Oturuyor,Bilinmiyor,Yok,1,14 Ocak 2022,Konut,87,1+1,2. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,7500000,İstanbul,Beşiktaş,Levent Mahallesi,Avrupa Yakası,0.911,178.938,25,2.0,0,41.0815723,29.0169502,0.5996366134312564,500m-1km
1315,15 Ocak 2022,Satılık,900,0 (Yeni),4,Boş,Bilinmiyor,Yok,5,15 Ocak 2022,Konut,750,8+ Oda,Düz Giriş,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,60000000,İstanbul,Beşiktaş,Akat Mahallesi,Avrupa Yakası,0.911,178.938,0,,1,41.0858575,29.026253,0.9650919082650318,500m-1km
1288,14 Ocak 2022,Satılık,95,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,1,14 Ocak 2022,Konut,70,2+1,4. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,2750000,İstanbul,Beşiktaş,Ortaköy Mahallesi,Avrupa Yakası,0.911,178.938,25,3.0,0,41.0546272,29.0281901,1.553329596873523,1-2km
